sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
26450183143,2020-03-23T10:49:30Z,76,21,19,36,62,56,0.1125158027812895
26437559039,2020-03-22T11:35:00Z,79,22,19,38,89,55,0.12209302325581395
26425341601,2020-03-21T11:15:00Z,81,21,22,38,58,54,0.06090808416389812
26413603580,2020-03-20T12:44:30Z,85,21,22,42,79,54,0.12218649517684887
26397874215,2020-03-19T10:54:00Z,79,21,23,35,53,56,0.07371007371007371
26383181784,2020-03-18T11:00:30Z,86,22,22,42,98,57,0.10520722635494155
26366813501,2020-03-17T08:10:30Z,57,15,17,25,45,55,0.09752066115702479
26351644958,2020-03-16T10:15:00Z,84,21,21,42,77,55,0.09416581371545547
26339673951,2020-03-15T10:46:30Z,84,23,22,39,121,54,0.08529741863075196
26327770877,2020-03-14T13:20:30Z,82,21,22,39,67,55,0.10264900662251655
26314687930,2020-03-13T11:15:00Z,81,22,22,37,105,55,0.0998719590268886
26300672247,2020-03-12T12:31:00Z,79,21,22,36,59,54,0.07712082262210797
26284083681,2020-03-11T09:34:00Z,75,20,22,33,59,55,0.05305466237942122
26271112276,2020-03-10T11:59:00Z,86,24,20,42,125,53,0.11154985192497532
26256555098,2020-03-09T13:21:30Z,89,23,20,46,111,53,0.125
26240499551,2020-03-08T14:03:00Z,81,21,22,38,65,54,0.08930817610062892
26227444471,2020-03-07T14:28:00Z,86,21,23,42,53,54,0.07288317256162916
26213716857,2020-03-06T11:53:30Z,70,21,22,27,51,54,0.10396975425330812
26198714466,2020-03-05T11:37:00Z,88,23,20,45,122,53,0.13410596026490065
26185442779,2020-03-04T14:37:30Z,67,18,21,28,6,52,0.1163895486935867
26170418916,2020-03-03T12:49:00Z,90,24,21,45,126,52,0.12339137017411052
26154921109,2020-03-02T11:35:30Z,68,19,21,28,20,52,0.11382113821138211
26140286717,2020-03-01T10:32:00Z,87,21,23,43,68,54,0.0824847250509165
26115171522,2020-02-28T13:24:00Z,83,21,23,39,58,54,0.08071748878923767
26099294636,2020-02-27T11:48:00Z,80,21,22,37,80,54,0.13034410844629823
26082723504,2020-02-26T10:19:30Z,82,22,22,38,89,55,0.09666666666666666
26072896131,2020-02-25T12:14:30Z,80,21,21,38,65,56,0.12395709177592372
26051792191,2020-02-24T10:04:30Z,69,19,20,30,47,56,0.1371280724450194
26036494353,2020-02-23T09:32:30Z,84,21,22,41,70,56,0.11709844559585492
26025201679,2020-02-22T12:36:00Z,83,22,21,40,94,55,0.08758314855875832
26011222923,2020-02-21T10:45:00Z,77,18,22,37,50,56,0.0681198910081744
25992927029,2020-02-20T08:14:30Z,72,20,22,30,43,55,0.08029197080291971
25975694758,2020-02-19T11:18:00Z,92,23,23,46,115,54,0.07199297629499561
25975694757,2020-02-18T08:12:30Z,67,20,19,28,30,54,0.11228813559322035
25975694756,2020-02-17T11:52:00Z,76,22,20,34,90,54,0.09893048128342247
25975694755,2020-02-16T10:30:30Z,88,25,19,44,142,54,0.12884753042233357
25919332868,2020-02-15T12:19:00Z,85,22,22,41,110,55,0.09161041465766634
25902690062,2020-02-14T09:37:00Z,75,21,22,32,48,57,0.0979020979020979
25888158898,2020-02-13T12:24:00Z,84,21,21,42,68,58,0.14622178606476938
25874884017,2020-02-12T11:26:30Z,86,22,21,43,98,57,0.09513513513513513
25860707252,2020-02-11T09:11:00Z,74,21,23,30,60,58,0.05676126878130217
25850254045,2020-02-10T11:03:00Z,80,21,23,36,58,59,0.0654911838790932
25833599435,2020-02-09T09:10:00Z,67,18,21,28,53,59,0.10558069381598793
25820514831,2020-02-08T11:25:30Z,78,22,19,37,87,60,0.1800262812089356
25807122895,2020-02-07T11:08:00Z,84,22,21,41,90,60,0.10989010989010989
